,rating,review_text
166,3,Muito bom o celular chegou antes do prazo eu recomendo
4138,4,muito bom!  cumpre todas as finalidades. Pena que a validade da licenca é de somente 1 ano.
3641,4,Gostei do produto e da agilidade e atenção em entregar o produto
3444,4,"Graças a Americanas fiz uma excelente aquisição, muito obrigada."
2259,3,Ótimo produto!!!!! Recomendooo!!!                        Porém minha cidade só sinal globo digital !!
2057,0,Não entregaram meu produto e ainda colocaram no sistema que foi entregue no dia 12/12/2017. Tento entrar em contato e eles não me respondem!
5865,0,Demorou séculos pra emitir a nota fiscal e até agora essa peste n chegou eu to mt bolada com essa loja
2643,4,Recomendo a todos. Muito bom livro. Bem explicado e de fácil entendimento.
619,4,"Conforme descrito, ótimos potes e com um fechamento perfeito da tampa.Otima entrega da Americanas como sempre !"
3855,0,"Livro para criança onde consta palavras como: bobão, vagabundo e panaca.  Bem educativo."
7029,1,ACHEI CURTA E UM POUCO FRACO AS TROCAS DE BICOS . . . . . .
2548,0,"Como vocês pedem para avaliar algo que não me entregaram, que só de meu dor de cabeça e tive que comprar em outro lugar"
9821,4,A melhor bíblia da minha vidaaa.  Perfeitaa!!! Letras do tamanho que eu queria fina do forme eu quis.
4403,4,ótima aquisição. Atendeu perfeitamente às minhas expectativas
5371,2,"Bom gostei, pena que os Correios atrasou tanto, mas o vendedor não teve culpa."
9523,0,"Comprei duas unidades, quando usei um logo quebrou a ventoinha. Como o produto não tem garantia, fico prejuízo."
9048,4,"Adorei o jogo. Bem embalado e protegido.  Chegou antes do fim do prazo, atendeu todas as minhas expectativas."
64,0,"Claro q eu não esperava um fone maravilhoso, mas o som q vem desse fone é horrível.. Se equipara ao comprado em.camelôs"
6143,4,"Eu amei, ela é linda, ja usei 2 vezes , a centrífuga funciona mt bem, as roupas saem quase secas. Só o tempo de lavagem que eu acho longo, 2 horas  pra lavar... Eu não sei se é mt mas o desempenho da máquina é de bom a ótimo."
9201,2,"veio com um pequeno defeito que não deveria, a chapinha n fecha completamente, tem um espaço considerável no meio, o que não deveria, levando em consideração a marca que antigamente costumava ter uma qualidade excelente, infelizmente hoje em dias as coisas tem muito pouca qualidade, além de ter um informativo enorme na frente da GAMA avisando que não aceita reclamações posteriores, somente na hora de recebimento do produto, sendo que nem fui eu quem recebi, inclusive nem estava em casa no momento da entrega e LOGICAMENTE terceiros que recebem não vão ficar abrindo a encomenda dos outros, mesmo que seja para averiguar se está tudo certo ou há algum problema, até porque isso é antiético. A GAMA já teve uma qualidade melhor tanto de produtos como de atendimento e consideração com os clientes."
283,4,Perfeito com qualidade e conforto e entrega excelente.
578,4,maravilha de produto gostei muito.excelente recomendo
3805,3,"Estou super satisfeita com essa fritadeira. Excelente tamanho, prepara muito bem os alimentos e sem dizer que facilitou imensamente o meu dia a dia.  Quem estiver pensando em comprar, compre. Não irá se arrepender. Sem dizer que chegou muito antes do prazo previsto. Parabéns às Americanas e seus parceiros!"
1703,2,"A chapinha me atendeu no que precisava, fazer progressiva no meu cabelo."
3858,4,Chegou antes do esperado e era do jeito que eu queria
90,3,"Ótimo produto, original, recomendo a todos!!! Podem comprar, prazo de entrega dentro do esperado, preço muito atrativo, parabéns as Americanas, farei mais compras futuras."
4270,4,Extremamente prático e objetivo. Nota dez ao autor.
6807,2,"O óculos chegou no prazo, sem defeitos, ótima qualidade. Porém o óculos que eu pedi era preto fosco e o que recebi é preto brilhante."
4227,0,"Comprei a cama  e veio faltando o colchão, demorou pra chegar."
9064,2,"Produto bom entrega super rápida, recomendo a loja"
8306,4,"A televisão é ótima, a entrega foi super-rápida evo equipamento chegou em perfeito estado"
5134,2,"Os únicos pontos negativos (no meu ponto de vista) são em relação ao alto falante (que é no fone do aparelho) e a dificuldade pra encontrar a pasta de arquivos de áudio. Tirando isso, até agora, tudo ótimo!"
2658,4,"Recomendo, chegou antes do prazo combinado, em perfeitas condições."
5121,0,Fiz minha encomenda no início de dezembro e já passou o prazo de entrega e o produto não foi entregue!
13,0,Esse celular não vale nada a bateria não vale nada descarrega sozinha quando estar usando esquenta tanto que faz medo espludi foi a pior compra da minha vida se eu tivesse condições quebrava ele em mil pedaços e comprava outro de qualquer marca menos Motorola
8695,0,"Comprei o aparelho com menos de 30 dias de uso a tela travou, e continua com o problema, após vim da assistência pois não disponibilizaram um novo aparelho"
3720,3,"Ainda não instalei, mas é lindo. Chegou antes do prazo. Preço excelente"
9744,4,"A top de linha da pentel, peso e precisão em uma das melhores lapiseiras do mercado."
8152,1,Não funciona 100% não retira todas as pontas ruins n sei se é normal o pente 1/4 ou 1/8 ficar saindo na hora do corte mas ainda da uma melhora
1307,0,"avaliacao de que ?! se o produto nao foi entregue, pessimo atendimento."
9444,0,"Infelizmente a bateria não segura carga sendo que a mesma esvai até mesmo com o celular fora de uso, beira o ridículo a duração da bateria e como se não fosse o suficiente ela simplesmente leva umas 3 vezes o tempo que deveria levar para carregar, não se enganem esta bateria tornara seus dias com o S5 um terrível incomodo."
6813,0,Não posso avaliar um produto que não foi entregue. O status no site está errado pois o produto não chegou.
4538,0,"Bebedouro nao esta gelando, veio com defeito nao gela a agua."
8902,3,Vamos ver a durabilidade por enquanto está tudo bem
7723,3,"Achamos que seria maior kkk, mas pelo preço tá ótimo."
6553,3,"""Imagem nítida e com cores vivas, serviu muito bem o proposito a que eu precisava"
3567,4,"Produto aprovado e recomendado, meu filho adorou e estou muito satisfeita com a aquisição..."
7909,4,"Acho que deveria agiliza um pouco na entrega, e não cobra mais de dois fretes em um só pedido"
5030,0,"""O que houve com a entrega do produto? Estava prevista para 29/12/2017"
226,3,Pratico e funcional. Fácil instalaçao e boa iluminaçao.
4737,2,"A qualidade é boa, mas achei que a cor que eu comprei (roxo) solta muito tinta. Desbotou na primeira lavagem."
6726,3,"Até agora está funcionando bem. Fácil de usar, fácil de higienizar, faz café em 30 segundos. Tive q instalar a tomada, pois o plug não entrava, já q é aquela de três pontas grossas. Tirando isto, gostei. Conhecíamos no consultório de minha médica. Qualquer um aprende a mexer em minutos. Mas tem q lavar o poeta cápsula após cada uso, o não cheira a café velho."
7878,2,atendeu as minhas espectativas.  ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss
1646,3,"produto potente, porem deve consumir um pouco de energia de forma significativa."
9016,3,Demorou um pouco pra chegar devido época de Natal. Ótimo telefone. Atende as necessidades. Visor grande. Câmera com ótima resolução.
3353,3,Estou satisfeito com a TV. Não custa tão caro quanto outras que competem na mesma faixa e tem ótima imagem e velocidade de resposta do sistema operacional.
6735,4,"Produto excelente, gostei da entrega de tudo. Parabéns."
5341,4,Comprei para minha neta e ela adorou.Ficou lindo no quartinho dela.
8587,0,"Não confio mais nos produtos da Samsung,  no meu caso não apresentaram durabilidade,  que se espera de produtos de alta gama e tão caros no Brasil.  Tenho uma TV Samsung modelo UN55ES7000,  maravilhosa até 2-3 anos de utilização. Depois apareceram as famosas listras verticais na tela. Em contato com assistência técnica a solução que me deram foi: trocar a tela! Em contato contato com a Samsung em sua página a solução dada foi contatar a assistência técnica. Após insistência disseram que a empresa usa os melhores componentes e processos de fabricação.  Deixo para vocês julgarem,  mas tenho uma TV caríssima (7200 reais à época)  com listras na tela."
8487,2,"Bom produto , vale muito a pena ... recomendo sim a todos"
1201,2,"justo pelo preço macio nao tão peludo, satisfeito."
530,4,"Inicialmente gostaria de dizer que estou muito satisfeita com a qualidade do meu produto,não houve qualquer problema com avaria ou defeitos. Também gostaria de sinalizar a rapidez em que a entrega foi realizada. Quero deixar registrado minha satisfação pela compra deste produto. Muito obrigada à todos."
808,2,"Para uma bicicleta de aprendizado, e que meu filho irá trocar logo é uma boa. atende as expectativas."
7605,3,A boneca é muito bonita.. minha irmã adorou.. e a entrega foi super rápida..
8320,0,O enunciado da oferta me levou ao erro !  Comprei toner samsung cod. CT285 e me entregaram toner HP cod. CT85A
521,4,"Aparelho com belo design, a ótimo desempenho. Processador super rápido e câmera ótima"
5778,4,"Smartphone de alta qualidade, me atende em tudo que preciso e o custo benefício é excelente também! Americanas sempre me surpreende com a velocidade da entrega é o cuidado com os produtos embalados. Obrigado Americanas!"
1815,1,Produto fraco. Indicado para 3 anos mas e muito pequeno para uma criança de 3 anos.
3850,4,"Chegou certinho, embalado e certinho! Recomendo.Chegou certinho, embalado e certinho! Recomendo."
4627,1,O produto tem qualidade razoável por conta da quantidade da imagem
5819,4,Ontem recebi um email  das empresa Lojas Americanas pedindo para avaliar um produto que não está em minhas mãos.
2727,4,"Produto conforme as especificações do fabricante, cumpre o prometido."
1811,4,Produto exatamente como anunciado e entregue no prazo.
5239,0,A cor lilás x branco.  Sendo que o original e na cor marrom .Achei muito estranho
7783,2,Gostaria de saber a medida e peso do produto antes de comprar
7012,0,Gostaria de saber o que aconteceu?. Não recebi minha torneira e até hoje vocês não me deram um retorno.
9539,3,"Produto excelente para o seu dia a dia. Além de rápido e prático, o produto ainda é bem leve para o transporte. Excelente produto!!!"
4072,3,"Gostei , Amei o produto porém um dos pés veio quebrado e isso me chateou"
6425,3,"Estou adorando, muito bom. Recomendo ao meus amigos.continue assim com produtos de ótima qualidade."
2327,0,"Boa noite  Não recomendo a compra, na hora de debitar do meu cartão foi bem rápido, mas não recebi a mercadoria ainda.  Estou no aguardo de uma resposta antes de tomar medidas judiciais cabíveis.  NÃO COMPREM, ou esteja preparado para isso."
2924,4,"Gostei esto produto:  material bom,  tamanho ótimo! Pretendo comprar mais alguns."
8196,4,Produto otimoooo!  O fio que não enrola é maravilhoso!!!
5020,4,Já é o segundo processador deste modelo que compro (o primeiro foi para minha mãe) e só tenho elogios. É muito forte e facilita bastante os processos.
6606,4,"Nada a reclamar sobre o mouse pad. Poderia ter a assinatura do artista da imagem nele, mas isso não é um problema."
2126,4,"Angeladeira é linda, super moderna e se adapta às minhas necessidades porém, não tive sorte na entrega e até o presente momento nenhum retorno da Americanas.com. Muito obrigado! Ah ! se por acaso eu consiga chamar à atenção dos ilustres responsáveis da Americanas, os mesmos poderam se comunicar por e-mail  no qual aguardo por um retorno desde 26/12/17 !  reginaldosanttos@globo.com"
2241,4,"Supri todas as necessidades, não trava, bem fininho."
3141,0,O produto que adquiri foi o azul escuro e me foi entregue o azul claro. A qualidade do produto também deixa a desejar.
1973,4,produto muito bom.chegou em dia com todas documentaçao
7324,4,Todos meus pacientes adoraram esse produto. Recomendo
7910,3,Ótimo produto com excelente prazo de entrega. O produto está com 10 dias de uso e só com mais tempo para uma avaliação melhor
9526,4,"Sonho realizado ter uma cafeteira Nespresso!  Café delicioso, muito fácil limpar a cafeteira, super recomendo... entrega muito antes do prazo estipulado."
4669,4,"AMEI O PRODUTO, ÓTIMA QUALIDADE. CHEGOU DENTRO DO PRAZO."
5698,4,TV com excelente qualidade de imagem e som. Controle remoto prático. Ótima navegação nos aplicativos smartv. Preço compatível com o produto. Recomendo a compra.
2931,3,"O produto é de ótima qualidade e bem reforçado, porém as furações não bateram com as furações originais do meu carro (Focus Guia Hatch 2011), estou tentando efetuar a devolução do produto."
2355,0,"Estou decepcionada com a Americanas e com a Transportadora Directlog. A previsão de chegada era até dia 29/12, e hoje ainda não recebi. A última atualização do rastreamento foi no dia 21/12 informando que o produto está a caminho do meu endereço. Entendo que em dezembro são muitas vendas, mas é aí que vocês tem que valorizar os clientes e respeitar o prazo informado. Sempre fui cliente de vocês, mas agora é a última vez que compro. Desde já informo que não quero mais a compra."
9518,3,"Entrega antes do prazo combinado, recomendo!!!!!!!!!!"
5654,3,"eu ainda não recebi o meu produto , já faz 1 mês e 10 dias , era pra receber no dia 27 de dezembro de 2017 e não entregou , aguardo resposta obrigado ......................................."
3765,1,poxa eu mando um email reclamando e ninguem me responde
3267,3,"Entrega rápida e produto de boa qualidade, estou super satisfeito."
3313,2,"Excelente preço, e entrega bem antes do prazo estipulado. Estou bem satisfeita com o produto."
1534,1,"poderia ser melhor a loja é muito boa ,mas o produto é +ou-"
6106,4,"Ótimo custo benefício, bonito, com bom acabamento e boa velocidade e capacidade de armazenamento"
3539,4,"o produto é de ótima qualidade e funciona com bateria, sem fio o que da uma boa mobilidade para a gente e ainda funciona a uma boa distância."
8374,0,"Comprei dia 05/12/2017 e até agora nada já entrei em contato diversas vezes e nada só ficam mandando e-mail automático e quando ligo pro número do telefone vendas pra fala sobre o produto é sempre mensagem automática, achei muito descaso por parte das Américas, não recomendo é fria!"
2017,0,"recebi o produto incompleto, fiz a devolução e nunca  fui ressarcida"
2311,3,Produto usado e recomendado. Chegou antes do prazo estabelecido.
6203,3,"Produto conforme anunciado, prazo de entrega ok e qualidade e acabamento conforme anuncio"
5248,3,"Boa tarde! Infelizmente eu me enganei quanto ao pedido. Gostaria de ter pego uma mochila com reservatório de água para andar de bike e acabei me confundindo com o volume da mochila. Espero que façam a troca, pois já fiz a requisição."
2570,0,Uma das poltronas veio com furos nas laterais... e o braço solto.
4679,0,Quero saber o porque de ainda não entregaram o produto que eu comprei. A data final da entrega era dia 22/12/2017 . Ainda nao recebi o meu produto . Primeira e ultima vez que compro nas Lojas Americanas. Nao os recomendo !
7096,0,"Entorta facilmente. Além disso, um dos pezinhos, que ajuda a montar a barraca, caiu no quinto dia de uso, o que praticamente inutilizou o produto. Muito caro e de má qualidade."
3758,3,"superou a expectativa, muito bom recomendo. vou comprar mais um logo"
7717,2,Telefone com bom desempenho. Gostei. Atende às minhas necessidades.
3825,2,"""A máquina realmente faz gelo bem rápido, mas honestamente não achei o manuseio prático. O compartimento de água fica embaixo da cesta onde caem as pedras de gelo, então aconteceu do gelo derreter um pouco e ficar """"boiando"""" na cesta, então tinha que deixar o compartimento de água sempre abaixo do nível máximo para não acontecer isso. Não senti que a máquina """"conserva"""" bem o gelo. Se você não tira logo o gelo, ele começa a derreter e as pedras grudam uma nas outras. Como não é uma máquina das mais caras, atende bem para um evento sem muito movimento. É para ter gelo pra colocar em bebidas, mas para encher uma caixa de gelo demora bastante. Pra fazer a quantidade de gelo prometida por dia então...."""
7367,3,"Muito boa,amei minha tv e  recomendo...Não tenho nenhuma reclamação..."
9781,4,Minha sala ficou muito aconchegante! Adorei a cortina! Ótimo produto.
8095,0,"Os anúncios estão confusos. Ou é class 10 ou é UHS-1. Produto não batendo com a descrição é coisa de site amador, não loja do tamanho e com a história da Americanas."
8089,4,"TV muito boa, tem ótima qualidade de áudio e som, e reproduz filmes e séries pela porta USB sem nenhum problema. O único problema que encontrei foi por ela demorar um pouco pra ligar e abrir os aplicativos, mas fora isso é uma ótima TV."
4336,4,"Produto excelente, porém, tem que melhorar o cronograma de entrega, tive atraso de 2 dias, mesmo pagando frete."
8079,0,"Aguardando produto até agora, gostaria que me enviasse o código de rastreamento"
4573,3,"Aparelho muito bom, tela ampla, muito nítida. Apenas pequena as questões funcionais poderiam ser melhoradas. Preço justo!"
123,2,gostei muito do produto gostei muito do produto gostei muito do produto
2154,2,Muito bom porem ela rodas que nem meu BMW que vendi pra comprar essa inovação por um desconto muito grande.
6447,4,"Comprei esse aparelho pro  meu filho, e  ele adorou...camera boa, bateria otima, sem contar a entrega q foi em dois dias Parabéns americanas, sempre nota 10"
5163,3,Produto de qualidade e entrega dentro do esperado.Super recomendo!!!
3177,1,a boneca comprada veio com pequenos defeitos de tinta na pintura dos cabelos e dos olhos.
1206,4,"""Chaleira fácil de limpar, não possui """"cantos"""" onde deposita a sujeira como as que possuem visor de nível. Ferve água rapidamente."""
1041,0,"Comprei dois capacetes, esse e um azul similar.  Ambos são apenas ISOPOR coberto com um papel adesivo na parte superior.  O acabamento é péssimo, aliás, não há acabamento. Por dentro nem se deram ao trabalho de pintar, ele é só o isopor branco e nada além disso.  Não tem a menor possibilidade de servir como proteção para uma criança.  Além disso, comprei este que eu esperava ser na cor rosa, porém, chegou na cor vermelha.  Estou muito decepcionado com a loja e com o produto."
5443,2,"Gostei do produto, meu cabelo é difícil de segurar enrolado, mas enrolou"
7111,0,Infelizmente comprei esse produto já foi duas vezes para garantia volta com mesmo defeito Aquarius decepcionado faz 3 meses que estou esperando só gasta com instalação
485,3,"Aparelho com ótima qualidade,super recomendo.. Entrega antes do previsto.."
5571,0,"Não pega Wi-Fi , nem Bluetooth, trava muito , loja não entra em contato ignora qualquer tipo de tentativa de entrar em contato , não comprem péssimo , gastei meu dinheiro atoa o jeito é ir no procon"
3947,3,"Gostei do produto, ilumina bem. Superou minhas espectativas."
4739,3,Porém algumas das madeiras veio com pedacinhos descascados.
5482,4,"Recomendo o produto e a loja, valem muito a pena e o preço é ótimo"
7418,0,"Não posso opinar no produto que até hoje não recebi, o presente que minha filha pediu de natal até hoje não chegou."
7835,1,""""""" e so VESTIR E SAIR VOANDO POR AI DEFENDENDO SUA CIDADE! FORA O KAMERAMERA que ela solta, so precisa de treinos pra conseguir se equilibrar no espaço! e o oxigênio deveria durar mais! Não precisa de carteira para poder voar nessa linda roupa! top top top so pegar e sair matando vagabundo por ai! """" - -*"""
2211,4,Tenho o CD. Agora o Blu Ray. Recomendo pra quem gosta de qualidade em todos os aspectos.
4512,0,"A caixinha até liga mas não conecta ao bluetooth, produto enviado via correios para troca"
1308,1,"O sabor da comida fica excelente, amei muito!!! Mas, infelizmente, em 2 semanas de uso está saindo o teflon da cuba, mesmo sendo lavada com todo o cuidado. Teflon de péssima qualidade."
397,4,"Minha filha está muito feliz, o produto é exatamente como descrito, excelente!"
7795,4,"Luminária muito bonita e bem feita. Dá um visual agradável, moderno, leve e elegante. Recomendo."
1648,4,"Fiz muitas pesquisas antes de comprar, queria algo que exigisse força, faço musculação, treino pesado e não queria nada muito leve, comprei esta é adorei, estou pedalando no nível 3 e fico morta...kkkk, recomendo com certeza!"
7955,3,de um modo geral atendeu às expectativas com exceção do grau de inclinação
5173,0,Já passou mais de uma semana do prazo de entrega e ainda não recebi
2418,3,Gostei muito do produto e dos acessórios. Entrega efetuada antes do prazo.
322,0,"1994,00 reais em um copo? Vcs estão de sacanagem né.... Isso é o valor da máquina de fazer esses copos né...."
8172,4,"eu estava precisando de um desse. maravilhoso, excelente,prático e estou sastifeita"
9556,4,"aquece rápido, solta muito vapor e a base desliza muito bem"
7199,1,"quanto  ao produto  ainda não posso falar, mas essa  foi a minha primeira experiencia com a loja  e já se passaram 30 dias, ja  paguei o  guarda roupa  e ate nada de produto estou muito decepcionada com a loja ,nem o frete eles querem me repor pela demora . não indico a loja vai passar raiva"
5743,4,"Produto maravilhosoooooo , eu amei        da pra riscar todas as falhas e parece que fiz design de sobrancelha"
1064,3,Indico com certeza as lojas americanas produtos bons agilidade na entrega continuarei comprando
2374,3,Produto chegou antes da data prevista.excelente produto!
9907,2,Produto bom e de qualidade. Exatamente como o descrito e chegou bem antes do prazo.!
5963,4,"Excelente produto, muito bom funcionamento ótimo e qualidade muito boa"
6922,1,Apesar da capa do DVD ser dos personagens atuais os dvds são todos antigos.
6431,0,Não é espelhado coisa nenhuma não gostei na descrição não fala que o espelhado é fosco ...
7860,3,"Gostei muito do produto. É lindo e com forma diferente, fugindo do redondo padrão."
959,3,"recebi o produto no prazo e o produto e bom, kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk"
7505,4,A minha filha amou e está se divertindo muito com ele
3343,4,"""Ótima qualidade"
115,3,"se autoprograma, facilitando muito para quem tem dificuldades com informatica, apenas o audio de todas as tvs samsung são muito baixo, ruim. é a segunda tv samsung e infelizmente o audio deixa a desejar."
4375,4,"Prancha excelente,pra progressiva ou não,alisa de forma rápida deixando o cabelo com aspecto brilhante e hidratado.perfeita"
1134,3,"Não ilumina o cabelo ja na primeira vez, tira um pouco do amarelado mas depende do tempo de ação que você deixa agir no cabelo."
3865,4,Muito bom o produto! Recomendo a todos! Funcionando perfeitamente!
978,0,"Comprei dos refletores e na primeira semana de uso um deles começou a piscar sem parar uma lampada interna e não para, não sei oque fazer."
9598,0,"Pedi o produto a mais de um mes e não foi entregue ainda, muito ruim o serviço de entrega desta empresa."
4307,0,O produto nem sequer iniciou....estou insatisfeita.  Reinicia automaticamente e constantemente. ..Estou tentando a troca ou devolução do produto...no momento aguardando um retorno da Americanas sobre minha solicitação. ..
1589,3,"ótimo produto, tem uma excelente performace, conforme expectativas!"
3236,4,"Produto excelente para o desenvolvimento do bebê, ótima qualidade."
6122,3,Produto tido como o melhor... achei muito bom e parece ser bem satisfatório para omeu filho quem irá usa lo
3376,1,"Boa tarde, Gostaria de saber se o perfume é original."
693,3,"Gostamos do produto, é pratica e eficaz possui um designer bem compacto e bonito."
8931,4,Muito prático prepara alimentos deliciosos fácil de limpar compacto
3972,0,as imagens sugerem que tem super mario world e que a marca do console é nintendo mas não é só tem jogos do mega drive
3701,3,gostei do produto tamanho da tela otimo e funciona perfeitamente
8145,4,Mochila bem resistente linda com ótimos compartimentos e zíper
8367,0,"Gostaria de deixar claro que a avaliação feita é referente ao site e não ao produto, já que este nunca chegou ao meu endereço. Comprei o liquidificador na Black Friday e, mesmo depois de acabado o prazo para entrega, não recebi e não estou recebendo a devida atenção da loja. Alguém sabe como proceder? Compro pela internet há anos e é a primeira vez que algo assim acontece. Não recomendo o site das Americanas."
8533,0,Estou super chatear ainda não recebi o produto  ... pela necessidade de tão tive que ir a loja e comprar qdo receber o produto vou devolver pelo simples motivo demora de entrega e necessidade do uso
6116,3,Nada a declarar recebi o produto de forma excelente.
635,3,muito bom                                                                                            .
9380,4,"Além de bonito,o material é de ótima qualidade todo original."
5314,0,"""30 dias úteis foi o prazo , se passarão 45 dias e ném despacharam o produto , já utrapassou o prazo . Um descaso com o cliente,  nunca mais compro nesse site :( :(   :(   :(   :("
4203,0,vc proucura um tipo de produto na busca e aaparece outro totalmente diferente é inferior... Propaganda enganosa podendo ter lesado ja  inúmeras pessoas que não sabem o que estão comprando... Quemerrou na compra sugiro entrar com uma ação contra essas pessoas que estão nos enganando... fica a dica... CUIDADO...
3890,4,produto otimo aconselho a todos site de confianca muito bom atendimento
4356,1,"O perfume é agradável, mas de pouquíssima projeção e fixação. Na minha opinião não vale a pena."
